109,78,41,79,57,17,57
138,113,76,100,54,28,71
167,109,93,100,63,21,64
9,5,8,3,1,2,8
161,87,69,111,63,26,64
142,77,54,80,47,15,55
161,95,82,91,70,15,69
94,61,53,66,46,13,49
134,87,60,81,62,21,64
171,109,88,83,87,21,61
9,8,8,9,6,2,4
150,84,73,91,58,18,51
107,68,51,62,52,23,55
107,82,59,64,50,12,49
113,81,64,87,27,19,50
157,88,63,79,41,17,56
126,92,73,91,54,28,72
19,10,13,12,7,4,9
119,84,61,77,54,12,62
95,62,56,75,34,19,49
101,80,57,69,43,20,58
0,1,0,1,0,0,0
